screen_name
Raptors
warriors
nuggets
okcthunder
PelicansNBA
dallasmavs
hornets
Lakers
nyknicks
Timberwolves
LAClippers
OrlandoMagic
Pacers
cavs
HoustonRockets
BrooklynNets
Suns
spurs
utahjazz
celtics
ATLHawks
DetroitPistons
chicagobulls
sixers
Bucks
WashWizards
MiamiHEAT
memgrizz
trailblazers
SacramentoKings
